tp,tv,ab,td,ttm
27990000,0.0308,ASK,2022-10-18,04:01:05
27990000,0.00704,ASK,2022-10-18,04:01:06
27992000,0.0113709,BID,2022-10-18,04:01:07
27992000,0.01,ASK,2022-10-18,04:01:07
27993000,0.0131,ASK,2022-10-18,04:01:12
27993000,0.01548163,ASK,2022-10-18,04:01:13
27990000,0.18451837,ASK,2022-10-18,04:01:13
27992000,0.00357334,ASK,2022-10-18,04:01:15
27992000,0.02140871,ASK,2022-10-18,04:01:15
27994000,0.00071444,BID,2022-10-18,04:01:18
27994000,0.03407726,BID,2022-10-18,04:01:18
27992000,0.00178751,ASK,2022-10-18,04:01:21
27990000,0.00543606,ASK,2022-10-18,04:01:21
27990000,0.00120368,ASK,2022-10-18,04:01:21
27990000,0.0012,ASK,2022-10-18,04:01:22
27990000,0.03573997,ASK,2022-10-18,04:01:22
27990000,0.00533117,ASK,2022-10-18,04:01:25
27990000,0.00080077,ASK,2022-10-18,04:01:26
27990000,0.00567,ASK,2022-10-18,04:01:30
27990000,0.0103,ASK,2022-10-18,04:01:31
27990000,0.0012,ASK,2022-10-18,04:01:33
27990000,0.01946,ASK,2022-10-18,04:01:33
27990000,0.0233,ASK,2022-10-18,04:01:39
27990000,0.0358,ASK,2022-10-18,04:01:39
27990000,0.01644471,ASK,2022-10-18,04:01:41
27990000,0.00107181,ASK,2022-10-18,04:01:41
27990000,0.00578348,ASK,2022-10-18,04:01:41
27990000,0.019,ASK,2022-10-18,04:01:44
27990000,0.00732251,ASK,2022-10-18,04:01:45
27990000,0.0387,ASK,2022-10-18,04:01:45
27990000,0.02,ASK,2022-10-18,04:01:47
27990000,0.0194682,ASK,2022-10-18,04:01:49
27990000,0.0858318,ASK,2022-10-18,04:01:49
27991000,0.0326,ASK,2022-10-18,04:01:53
27991000,0.0133163,ASK,2022-10-18,04:01:55
27991000,0.02880484,BID,2022-10-18,04:02:00
27997000,0.03021014,BID,2022-10-18,04:02:00
27994000,0.014,BID,2022-10-18,04:02:00
27997000,0.00159788,BID,2022-10-18,04:02:00
27994000,0.06592274,BID,2022-10-18,04:02:00
27997000,0.00018256,BID,2022-10-18,04:02:00
27994000,0.14858606,BID,2022-10-18,04:02:00
27997000,0.01475301,BID,2022-10-18,04:02:00
27994000,0.04227052,BID,2022-10-18,04:02:00
