tp,tv,ab,td,ttm
28396000,0.0383,BID,2022-10-07,04:54:19
28395000,0.09997003,ASK,2022-10-07,04:54:25
28396000,0.0334,BID,2022-10-07,04:54:32
28396000,0.0725,BID,2022-10-07,04:54:34
28395000,0.0004758,ASK,2022-10-07,04:54:36
28395000,0.00413667,ASK,2022-10-07,04:54:36
28396000,0.01076365,BID,2022-10-07,04:54:36
28396000,0.05633635,BID,2022-10-07,04:54:36
28396000,0.0094,BID,2022-10-07,04:54:38
28396000,0.0858,BID,2022-10-07,04:54:42
28396000,0.0136,BID,2022-10-07,04:54:42
28396000,0.00653699,BID,2022-10-07,04:54:43
28396000,0.0208,BID,2022-10-07,04:54:44
28396000,0.00070432,BID,2022-10-07,04:54:44
28396000,0.02697733,BID,2022-10-07,04:54:46
28396000,0.00682234,BID,2022-10-07,04:54:46
28396000,0.00980033,BID,2022-10-07,04:54:46
28396000,0.00703972,BID,2022-10-07,04:54:51
28395000,0.00642856,ASK,2022-10-07,04:54:52
28396000,0.00633575,BID,2022-10-07,04:54:53
28395000,0.00028087,ASK,2022-10-07,04:55:00
28395000,0.000238,BID,2022-10-07,04:55:05
28395000,0.00035182,BID,2022-10-07,04:55:05
28395000,0.0929399,BID,2022-10-07,04:55:13
28395000,0.01309264,BID,2022-10-07,04:55:13
28395000,0.00070434,BID,2022-10-07,04:55:20
28394000,0.00352174,ASK,2022-10-07,04:55:21
28394000,0.00352174,BID,2022-10-07,04:55:23
