,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
23,220101,1120,-0.018647010156776046,661.0,0.9646756568541729,-0.015529266140712273,661.0,0.9646756568541729,0.9999900000999989,,1,2.7083333333333335,1,2.7083333333333335,0,
24,220101,1125,-0.016685676170753245,654.0,0.9612015185677331,-0.021383470686544812,654.0,0.9612015185677331,0.0,,0,,0,,0,
25,220101,1130,-0.01354482569001858,642.0,1.0214709772550785,-0.017668625170397266,642.0,1.0214709772550785,0.3333322222259259,1.2951080665912227,3,-0.04324772953742881,1,0.23837902264600713,2,-0.1840611056291468
26,220101,1135,-0.01480937655490909,646.0,0.9965749644183592,-0.014447345339355995,646.0,0.9965749644183592,0.4999991666680556,1.0963343257184806,6,0.07281751399124951,3,1.6574017517989976,3,-1.5117667238164987
27,220101,1140,-0.015575693545266847,646.0,1.0002419258812918,-0.018330713479729376,646.0,1.0002419258812918,0.571427755103207,1.0787892350335853,7,0.24861348776564435,4,1.4275185133481811,3,-1.323259879677738
28,220101,1145,-0.014219942157250717,646.0,0.9663227148488466,-0.017774253952199306,646.0,0.9663227148488466,0.0,,0,,0,,0,
29,220101,1150,-0.012966474207365025,638.0,0.9775420079679126,-0.02060076503337605,638.0,0.9775420079679126,0.45454504132268975,0.992672262826225,11,-0.003635071845369951,5,1.0833572219027299,5,-1.0913543799625436
30,220101,1155,-0.011787202349423662,653.0,0.9550834100634361,-0.018536949087203946,653.0,0.9550834100634361,0.0,,0,,0,,0,
31,220101,1200,-0.015193530176350703,656.0,0.9389150356777967,-0.011960933470189276,656.0,0.9389150356777967,0.0,,1,-0.15847860538827258,0,,1,-0.15847860538827258
32,220101,1205,-0.016413568671116922,630.0,0.9746782221087644,-0.01589121808490503,630.0,0.9746782221087644,0.0,,0,,0,,0,
33,220101,1210,-0.016516744728638535,650.0,0.9802350571699429,-0.01677364321004412,650.0,0.9802350571699429,0.4999991666680556,0.24712261043876005,6,-0.37587011755781136,3,0.44279499736901057,2,-1.79180284872695
34,220101,1215,-0.016384417717819226,649.0,0.9875207818866214,-0.015103886735879321,649.0,0.9875207818866214,0.5999988000024,0.28274799640025416,5,-0.3681015628504935,3,0.4518317177939237,2,-1.5980014838171195
35,220101,1220,-0.016227770283336895,653.0,0.9869495617683481,-0.014444439887347576,653.0,0.9869495617683481,0.5999988000024,2.4289372767629644,5,0.7943639071910238,3,1.8247860595654302,2,-0.7512693213705854
